LOCC	LACC	LIFG	LIPL	ROCC	RACC	RIFG	RIPL	I
9358.0068	12054.3861	10255.3105	10491.0233	9050.8975	12081.4115	10604.8828	10157.9220	-0.1154
9310.6085	11828.8853	10168.7192	10397.4166	8996.8000	11936.5154	10543.7063	10130.8261	-0.1328
9327.6875	11920.3325	10258.9959	10474.0353	9006.9513	11978.8798	10544.6016	10164.0063	-0.1498
9331.4649	11891.2318	10259.1979	10529.8578	9038.6714	11999.2016	10538.3771	10191.4105	-0.1663
9388.8679	11915.6941	10161.0950	10518.2235	9097.1741	11997.9485	10599.6243	10236.7777	-0.1821
9310.5681	11867.2807	10215.5978	10494.1994	9009.5139	11935.4097	10590.7662	10131.8574	-0.1972
9307.3907	11907.0837	10127.2843	10444.7475	8992.4723	11946.8059	10527.1813	10047.7214	-0.2115
9309.3531	11950.9149	10223.1482	10490.8528	8987.5939	11977.2546	10572.9797	10107.2165	-0.2250
9330.5045	11818.5026	10200.1285	10426.3014	9021.9630	11902.3782	10553.1613	10065.3073	-0.2377
9333.4604	11819.5514	10171.0377	10435.1570	9011.8508	11888.7466	10534.8130	10101.7657	-0.2497
9280.0894	11872.8129	10196.5101	10456.3652	8960.9941	11933.4763	10495.7773	10073.6354	-0.2601
9321.1291	11885.9311	10178.6294	10457.0148	9001.1780	11935.6868	10545.7837	10125.7488	-0.1686
9429.9199	12049.6849	10328.4053	10556.0698	9083.8833	12093.9234	10663.3126	10205.7018	0.1334
9517.0441	12135.5288	10328.6017	10651.4357	9186.0767	12165.8465	10671.5174	10307.0041	0.4161
9551.9875	12091.3626	10328.2036	10621.4288	9234.1920	12169.0803	10654.0241	10316.5314	0.5641
9532.1377	12058.4176	10377.9664	10633.9089	9218.4504	12122.5030	10708.0683	10277.1205	0.6074
9491.2891	12051.7804	10423.0857	10603.4720	9154.8882	12100.0682	10693.3944	10240.0663	0.5952
9480.4364	12078.1423	10344.8829	10614.6444	9143.1112	12130.1391	10658.4728	10216.9495	0.5617
9502.3435	12075.0102	10353.0044	10633.5367	9171.2952	12151.5310	10744.7589	10274.4922	0.5267
9505.5212	12099.7241	10380.4201	10653.1132	9168.0752	12139.4240	10751.5608	10290.7191	0.4981
9473.7838	12061.0864	10349.9445	10644.2296	9125.8580	12118.5015	10759.4726	10320.9598	0.4760
9416.0532	12055.8891	10355.2888	10589.0743	9100.9918	12113.2492	10715.4960	10308.7567	0.3586
9391.7422	11981.8325	10280.7390	10527.4195	9096.4123	12010.1290	10657.7983	10273.1487	0.0369
9304.6533	11891.5518	10240.5524	10457.8123	8989.9289	11961.9348	10617.7507	10150.9909	-0.2604
9285.1819	11861.3743	10138.5083	10407.4558	8984.6639	11945.1240	10592.2109	10083.4270	-0.4208
9339.0972	11897.7223	10227.2250	10492.2296	9033.0987	11976.9644	10633.9921	10098.9424	-0.4765
