LOCC	LACC	LIFG	LIPL	ROCC	RACC	RIFG	RIPL	I
10045.5366	11145.2483	10843.0408	10290.0875	9511.1136	10874.0812	11315.0218	11126.3256	-0.1154
10076.0304	11079.1757	10766.2051	10228.0870	9518.3724	10644.9619	11052.3581	10996.8538	-0.1328
10078.2128	11171.7254	10755.2059	10257.6579	9555.3451	10631.3022	11357.9089	10933.8997	-0.1498
10068.1350	11152.4808	10785.2875	10198.9139	9558.4730	10637.3165	11323.9951	10965.4851	-0.1663
10036.9176	11130.2852	10793.6825	10194.3941	9510.3105	10597.0163	11382.8441	10939.8218	-0.1821
10074.7035	11145.7967	10845.3143	10223.5457	9568.3199	10606.4561	11418.4085	10962.1955	-0.1972
10003.3264	11232.9112	10841.1987	10195.0720	9568.1134	10757.7792	11237.7018	10981.3855	-0.2115
9982.4182	11040.0282	10620.2110	10166.7742	9448.4444	10602.5434	10947.4160	10886.7119	-0.2250
10015.8401	11148.0502	10804.1733	10269.7547	9439.5975	10622.0232	11375.1195	10996.4771	-0.2377
9993.2749	11119.4281	10849.1889	10254.4982	9448.0937	10687.2488	11434.1497	10945.1410	-0.2497
10010.6070	11173.7499	10741.9360	10212.8377	9514.2288	10717.8354	11374.2324	10947.4833	-0.2601
10012.5322	11144.1811	10845.4073	10211.3111	9495.4796	10651.3740	11359.4212	10988.3294	-0.1686
10073.3257	11287.7160	10914.3459	10334.4947	9584.0475	10770.0730	11467.2946	11091.4602	0.1334
10211.4448	11442.0381	11018.6181	10439.0545	9688.9132	10956.1721	11588.0156	11198.8940	0.4161
10246.4908	11305.7965	11029.7980	10471.4644	9693.1651	10925.9766	11587.5358	11112.3647	0.5641
10260.8156	11267.3377	10958.2002	10453.1763	9705.8164	10894.2043	11540.2741	11108.8901	0.6074
10138.9343	11219.2423	10911.4822	10321.8274	9641.0497	10821.0632	11454.8213	10970.8043	0.5952
10043.0515	11109.4344	10731.7304	10181.2776	9550.6209	10646.2492	11288.9606	10931.3496	0.5617
10095.1404	11167.0532	10804.5353	10224.1509	9510.3104	10611.4212	11447.6940	10944.2148	0.5267
10080.8384	11149.3915	10852.4934	10340.8764	9547.5064	10662.5455	11423.9710	10976.4276	0.4981
10105.4043	11255.1388	10927.3869	10354.8768	9511.6624	10787.3735	11455.9105	11048.2259	0.4760
10089.5532	11214.0392	10865.2374	10315.4860	9555.6932	10782.8428	11446.2536	11022.3465	0.3586
10033.2933	11042.3499	10742.6048	10212.2336	9481.7937	10646.1628	11343.6566	11006.3647	0.0369
9925.6002	10991.6443	10711.7333	10136.5006	9392.3929	10540.5359	11324.7809	10947.7910	-0.2604
9932.2992	11066.0662	10686.2209	10154.0308	9414.7696	10576.2593	11203.0817	10912.2342	-0.4208
9966.7236	11028.5547	10734.8493	10200.0850	9494.2694	10656.3474	11322.2718	10963.9669	-0.4765
9989.1433	11002.4776	10671.2138	10189.2231	9503.8085	10681.3512	11305.3236	10935.5831	-0.4770
9909.4183	11019.7666	10683.4225	10131.9824	9422.9376	10555.9854	11345.5628	10824.2907	-0.4545
9898.4791	10996.1678	10692.8743	10089.9797	9363.2416	10508.6754	11284.5791	10886.8813	-0.4282
9910.9372	10972.7595	10590.8969	9992.5918	9409.8753	10459.7379	11209.7331	10828.7531	-0.4074
9968.4221	11021.5609	10600.0395	9982.0301	9516.0675	10539.4132	11023.1663	10866.2031	-0.3938
9980.9619	11183.8046	10739.0246	10154.0520	9509.0284	10654.0789	11180.8151	10940.0239	-0.2855
10101.6491	11324.0009	10852.3285	10325.2422	9637.6003	10801.3271	11397.2982	11101.7779	0.0284
10235.1502	11412.5600	11013.0272	10466.3596	9748.5162	11016.2555	11588.3115	11180.9452	0.3201
10271.2850	11345.6403	11038.9645	10429.0108	9730.6551	10901.7529	11563.7708	11167.6426	0.4755
10195.7361	11311.6054	10953.3675	10416.9520	9643.8688	10889.5389	11494.5505	11088.6251	0.5252
10097.6976	11266.2866	10895.9420	10290.4518	9533.8868	10757.6646	11514.1019	10976.4237	0.5191
10111.3162	11253.2995	10942.5211	10341.8407	9572.0638	10708.3707	11563.7965	10982.2773	0.4912
10157.2460	11239.3263	10958.1122	10337.7642	9618.0577	10751.0081	11540.3848	11087.1270	0.4615
10127.7181	11286.6872	10869.3443	10324.8328	9569.3548	10885.2691	11448.7754	11054.6943	0.4378
10100.1147	11333.4860	10895.9497	10334.0722	9563.4760	10921.9285	11361.9183	10998.6283	0.4203
10097.5924	11167.0482	10884.9997	10294.2942	9546.2270	10775.5799	11369.0690	10982.9029	0.3073
9981.2195	10691.6548	10657.4593	10082.8217	9417.7696	10235.8295	11205.4736	10886.0307	-0.0103
