LOCC	LACC	LIFG	LIPL	ROCC	RACC	RIFG	RIPL	I
10481.2198	10854.7860	10427.7781	10870.3072	10210.9313	11240.9836	10729.3102	11318.6838	-0.1154
10512.0873	10810.8803	10395.8918	10846.4877	10221.7177	11218.2894	10720.8623	11345.7144	-0.1328
10498.6151	10863.6204	10466.7609	10897.7751	10219.9082	11244.2552	10793.6982	11333.0189	-0.1498
10475.0483	10784.4593	10468.2016	10816.0233	10186.1192	11224.9479	10710.5010	11316.6779	-0.1663
10501.9021	10760.9814	10511.4844	10849.2751	10203.9576	11169.5806	10729.3776	11359.6401	-0.1821
10449.5462	10766.4582	10455.9527	10769.4625	10161.8561	11211.1495	10655.9326	11242.1158	-0.1972
10464.0813	10790.6354	10506.9314	10800.9270	10196.9225	11213.2284	10595.6833	11253.2119	-0.2115
10434.6645	10794.7742	10461.7070	10761.6916	10151.6860	11182.3155	10540.7067	11291.6492	-0.2250
10396.8824	10777.7546	10440.4541	10726.2983	10128.5452	11172.2268	10562.5173	11262.6149	-0.2377
10432.6392	10859.3962	10471.5730	10783.5948	10159.8726	11208.6982	10629.3962	11302.2664	-0.2497
10378.4449	10693.2308	10402.8492	10690.2131	10117.7235	11117.0054	10544.1660	11242.1179	-0.2601
10438.7735	10760.1984	10384.5137	10794.7681	10157.9629	11177.7044	10646.7510	11289.5204	-0.1686
10483.5512	10850.0487	10475.8779	10836.8527	10199.3963	11280.4388	10715.6328	11364.9680	0.1334
10550.3820	10929.7331	10565.6201	10913.8098	10269.3010	11385.2830	10841.1165	11393.7420	0.4161
10605.1294	10964.2891	10667.5539	10931.7562	10345.9410	11324.6302	10942.6257	11441.2478	0.5641
10588.6181	10934.9153	10527.2809	10869.1574	10315.2791	11323.4386	10709.8851	11482.9659	0.6074
10584.5844	10904.3146	10499.4902	10880.7568	10305.7096	11281.2861	10742.4268	11433.5244	0.5952
10559.0553	10911.9848	10537.5477	10841.2761	10267.2599	11270.4213	10680.4798	11393.3360	0.5617
10538.1817	10908.5208	10501.2066	10861.8311	10254.6564	11232.2565	10780.7832	11394.5113	0.5267
10576.8496	10928.5844	10548.3881	10793.6349	10267.1054	11285.2080	10797.5990	11391.1141	0.4981
10532.2606	10863.4586	10462.2127	10819.9061	10211.8020	11257.1367	10747.1406	11317.9023	0.4760
10525.8309	10820.6271	10544.4645	10849.8425	10231.2200	11237.8142	10718.8034	11301.4529	0.3586
10467.5879	10776.6292	10449.7422	10888.3976	10169.0526	11193.9872	10637.7904	11386.1333	0.0369
10432.1940	10690.9194	10449.6492	10826.3800	10151.5382	11140.0033	10518.7588	11299.8667	-0.2604
10325.0108	10664.3484	10368.0465	10705.4568	10094.0158	11102.8369	10494.0306	11201.3778	-0.4208
10308.6247	10652.6249	10297.7639	10610.9500	10087.4901	11070.4566	10424.7650	11158.9995	-0.4765
10372.8948	10682.9363	10421.2406	10681.9037	10112.4030	11134.8265	10411.7376	11163.5044	-0.4770
10346.3762	10691.5954	10361.4895	10676.9914	10076.2743	11105.7566	10524.5928	11145.7044	-0.4545
10382.0161	10684.7097	10454.0473	10719.9762	10085.2818	11133.2495	10574.7650	11239.9791	-0.4282
10382.9658	10702.6324	10385.4252	10682.2939	10100.4029	11140.9246	10509.6051	11213.1454	-0.4074
10441.7608	10666.0943	10409.9854	10715.3252	10143.6629	11132.3385	10616.0879	11222.5215	-0.3938
10456.8665	10742.2327	10409.0744	10690.7035	10152.8343	11171.0689	10632.6289	11220.2623	-0.2855
10470.1420	10783.0898	10428.3250	10784.8811	10162.9807	11231.3944	10733.1491	11292.5155	0.0284
10576.6651	10925.1262	10566.6139	10900.3427	10279.4552	11355.9889	10862.7152	11460.7399	0.3201
10583.7123	10894.6779	10564.1041	10853.5376	10295.7332	11299.6984	10747.8864	11366.9600	0.4755
10667.5467	10905.5127	10631.6135	10907.8683	10341.6786	11383.4674	10862.8477	11376.3641	0.5252
10614.3254	10917.5474	10590.7869	10852.0144	10294.6802	11280.3289	10803.9935	11400.2499	0.5191
10596.1606	10893.9530	10533.7781	10877.4150	10276.6584	11361.4880	10773.6243	11399.4323	0.4912
10578.3099	10848.8333	10584.2445	10869.2255	10281.8781	11339.9045	10843.9095	11362.7053	0.4615
10569.2672	10797.4868	10550.7848	10799.6727	10247.6085	11218.5560	10790.2796	11347.3455	0.4378
10618.4537	10920.7191	10617.8713	10843.0458	10289.5024	11331.7078	10778.6455	11354.7427	0.4203
10614.3381	10919.2041	10650.2684	10865.2826	10251.5280	11327.5502	10709.4046	11346.2733	0.3073
10521.3393	10868.3316	10549.5812	10822.6808	10162.1384	11289.1353	10509.2096	11265.8639	-0.0103
10441.9732	10794.8666	10511.7877	10740.0391	10082.3499	11124.0990	10598.4385	11258.6683	-0.3038
10474.7393	10763.3972	10584.3404	10793.8065	10134.4760	11164.8569	10572.5133	11319.3209	-0.4605
10397.1679	10736.2640	10431.1732	10747.1755	10112.2275	11159.2974	10504.3639	11210.1515	-0.5128
10373.0167	10682.8645	10355.3887	10666.8060	10106.1261	11135.9284	10492.3174	11146.9472	-0.5101
10393.5136	10775.2439	10254.6537	10642.1155	10182.3433	11143.9740	10527.5768	11250.0117	-0.4846
10300.7223	10661.4471	10218.9461	10606.1666	10078.4406	11090.8197	10436.7354	11144.9614	-0.4556
10293.4935	10759.0882	10390.5920	10764.7798	10059.1407	11169.7091	10505.5736	11259.7251	-0.4323
10280.3446	10637.8973	10252.6672	10691.9963	10028.6471	11049.0477	10500.7555	11196.6277	-0.4164
10223.6098	10772.2692	10349.2105	10713.8941	10010.1600	11178.3044	10608.5303	11245.6852	-0.3059
10382.4143	10884.9852	10457.9410	10850.5027	10139.4185	11229.4756	10690.2500	11354.7484	0.0099
10499.0941	11003.7551	10558.9229	10905.6545	10232.0996	11406.6720	10781.2930	11385.6580	0.3033
10578.9735	10977.8247	10499.4141	10946.6558	10305.6299	11298.5260	10707.9398	11372.6555	0.4604
10519.3655	10887.2176	10514.7764	10830.1369	10285.0626	11256.9187	10699.1370	11355.3895	0.5116
10571.2442	10909.1673	10524.7240	10884.6102	10314.0543	11214.7721	10789.2965	11346.9664	0.5068
10538.3306	10831.8244	10531.2744	10863.0477	10279.1924	11205.6200	10932.4691	11357.3370	0.4801
10549.6433	10904.2871	10559.2633	10927.2604	10272.3713	11246.6791	10848.1800	11455.6846	0.4515
10557.9882	10909.1827	10619.3541	10931.8462	10252.6317	11270.4456	10836.8945	11408.2534	0.4289
10596.9313	10968.9540	10615.4572	10970.7355	10308.8989	11301.4810	10818.2520	11433.0072	0.4123
10580.3027	10990.4193	10527.5154	10940.6056	10275.4524	11342.6366	10780.4274	11420.3615	0.3001
10420.0600	10828.8812	10414.8047	10785.1928	10170.6886	11227.4843	10677.5251	11290.1218	-0.0168
10351.5057	10846.2112	10373.0377	10734.1357	10102.5626	11167.1077	10638.6224	11295.4926	-0.3096
10401.2581	10821.0585	10450.4072	10789.1888	10131.9388	11174.0832	10654.8480	11292.1488	-0.4658
10354.1510	10745.7765	10345.9178	10730.4473	10114.6778	11122.7404	10551.3294	11223.8069	-0.5175
10360.6552	10775.2460	10422.3549	10713.6620	10140.9014	11192.1758	10635.9033	11229.8425	-0.5143
10488.4079	10811.5403	10498.8094	10860.1967	10252.8171	11272.2646	10886.5905	11341.8425	-0.4884
10459.7482	10746.9640	10417.7090	10800.3584	10209.7676	11169.3276	10719.1276	11305.7512	-0.4590
10444.2963	10748.1934	10454.7975	10791.4164	10173.2664	11135.8091	10662.4655	11269.7460	-0.4353
10445.8770	10615.8665	10362.9937	10747.3573	10144.8809	11021.5094	10602.4326	11223.0219	-0.4191
10468.2360	10699.4189	10448.4359	10816.1801	10165.9301	11118.6160	10711.2161	11277.8754	-0.3084
10519.6544	10767.9515	10484.4730	10895.9179	10213.4318	11174.4558	10723.4941	11360.3280	0.0078
10575.8592	10898.8584	10559.8404	10892.6359	10290.2550	11300.2729	10786.6556	11407.0432	0.3015
10556.9193	10973.1537	10605.7629	10879.1508	10289.4450	11309.7198	10753.7090	11408.0043	0.4588
10588.8136	10993.6565	10564.8055	10926.5769	10297.2366	11350.2181	10712.6279	11430.2872	0.5104
10577.4910	11059.0014	10553.4908	10959.4167	10274.3543	11402.4912	10686.2747	11439.6269	0.5058
10550.8462	10906.4546	10559.9793	10919.4548	10255.6676	11260.7773	10707.1318	11384.2054	0.4794
10561.0991	10937.5249	10574.6004	10929.5108	10267.7257	11318.0166	10744.5199	11428.3146	0.4510
10586.7675	10922.6752	10557.8664	10953.7045	10259.1308	11266.7252	10757.6172	11400.2259	0.4285
10560.2135	10940.4806	10562.9240	10856.5439	10236.8296	11284.2718	10663.1989	11389.6040	0.4121
10528.1818	10867.4474	10510.8104	10850.8150	10217.3541	11309.3506	10656.2907	11378.1510	0.3000
10451.7101	10819.8377	10507.9195	10807.7397	10197.3448	11262.3488	10615.7816	11317.9150	-0.0167
10420.4029	10843.7560	10361.0910	10768.9172	10159.2759	11201.9719	10570.3672	11309.4930	-0.3094
10418.5762	10817.3086	10433.3818	10797.0623	10113.2655	11247.5259	10609.5690	11313.7611	-0.4656
10358.0725	10728.9730	10381.8383	10692.9334	10092.9095	11186.8622	10609.8079	11267.9416	-0.5174
10333.1357	10669.4144	10337.2232	10684.6762	10092.0476	11143.4194	10612.5788	11196.7074	-0.5142
10381.5345	10613.2281	10380.4352	10723.7640	10123.0198	11104.9341	10676.0361	11260.8628	-0.4883
10305.9468	10568.0695	10308.7779	10661.6388	10081.2736	11091.6011	10494.7285	11224.8865	-0.4589
10436.6691	10729.8181	10474.2855	10782.5052	10195.7437	11139.7240	10754.5234	11297.0449	-0.4353
10411.5944	10643.7253	10291.0164	10726.1715	10163.2007	11149.8951	10579.1846	11226.6863	-0.4191
10378.7831	10650.3224	10401.8000	10697.6790	10122.4386	11117.0653	10554.2614	11227.8498	-0.3084
10473.7812	10771.3264	10463.2621	10828.7582	10203.7111	11226.3899	10758.1966	11273.6065	0.0078
