LOCC	LACC	LIFG	LIPL	ROCC	RACC	RIFG	RIPL	I
9805.0454	10529.5325	10313.4357	11506.6643	9861.0281	10873.0682	10783.4634	11183.6694	-0.1154
9816.0249	10498.6992	10309.3629	11510.9348	9844.8012	10871.6081	10753.8454	11185.0343	-0.1328
9859.2479	10562.7380	10349.8964	11569.6232	9909.9196	10924.7867	10850.8201	11238.3037	-0.1498
9832.1169	10505.1896	10365.0834	11565.9473	9927.0120	10905.4540	10885.2473	11226.6919	-0.1663
9772.8922	10427.5251	10321.0056	11505.2775	9884.9118	10879.9799	10839.4255	11225.7327	-0.1821
9761.0131	10503.7127	10297.0561	11484.4886	9860.4744	10901.0824	10851.9681	11160.6591	-0.1972
9752.2754	10483.0156	10292.1819	11494.5029	9830.1861	10878.5041	10832.1954	11147.5858	-0.2115
9747.3850	10398.7876	10253.3766	11432.3846	9835.0783	10841.7617	10810.4353	11166.3703	-0.2250
9712.3637	10411.1599	10230.0438	11462.1716	9783.7203	10827.2593	10734.0733	11104.9456	-0.2377
9721.7046	10408.5168	10260.4730	11447.7251	9798.5284	10837.9903	10751.8409	11143.1140	-0.2497
9754.7383	10439.3131	10275.2685	11467.8662	9846.4010	10869.8032	10825.0945	11170.9373	-0.2601
9816.8456	10469.7882	10327.5373	11525.0711	9897.4818	10897.1702	10845.8327	11215.0345	-0.1686
9890.8851	10550.9093	10396.0264	11576.4817	9975.2830	10962.4379	10902.2176	11266.1605	0.1334
9930.6425	10624.1043	10410.6010	11593.9612	10007.0616	10984.6249	10938.6214	11281.0645	0.4161
9962.4662	10615.9997	10447.0418	11607.8906	10008.7501	10976.7929	10971.8524	11285.5495	0.5641
9952.0832	10598.7655	10436.5412	11625.6758	10005.1656	10988.1763	10936.9744	11307.1129	0.6074
9941.3778	10632.0016	10446.3737	11598.5264	9973.1686	10987.4577	10939.1755	11259.0701	0.5952
9893.0155	10568.7875	10452.0420	11583.9301	9936.2166	10961.3254	10942.1499	11255.1166	0.5617
9856.7209	10528.2674	10408.2406	11561.6274	9918.7778	10923.0985	10912.5000	11211.5672	0.5267
9855.2681	10574.6428	10393.2312	11562.6778	9927.8156	10932.3818	10882.7066	11235.1695	0.4981
9875.8300	10551.0697	10403.2707	11552.0910	9903.6932	10943.7655	10905.4109	11190.1615	0.4760
9816.7155	10500.0192	10343.5469	11536.3400	9871.9153	10897.6975	10852.8931	11240.5611	0.3586
9754.0252	10416.3459	10299.2411	11520.0706	9828.9736	10859.8621	10839.1508	11210.4660	0.0369
9753.0863	10401.6074	10289.0746	11481.8616	9806.1353	10839.6256	10809.7223	11176.6070	-0.2604
9764.8579	10439.3797	10299.8818	11519.2238	9836.9694	10851.1669	10803.2757	11197.2160	-0.4208
9762.9787	10458.6457	10285.6264	11504.0741	9846.4641	10875.1838	10795.2240	11208.3382	-0.4765
9734.1294	10397.6605	10292.0969	11481.4266	9806.7880	10827.6883	10786.7779	11131.8073	-0.4770
9733.1768	10387.4495	10317.8237	11500.9406	9776.9872	10800.3448	10824.0978	11160.4950	-0.4545
9726.5114	10406.9720	10312.7325	11506.4915	9834.5426	10828.4868	10791.2921	11191.4977	-0.4282
9776.1525	10478.8178	10304.5033	11545.3314	9876.7412	10896.2424	10830.2421	11217.2026	-0.4074
9743.9280	10506.7575	10357.5963	11514.3522	9832.1732	10876.5556	10823.7812	11176.5094	-0.3938
9783.1626	10507.2388	10363.0184	11535.3479	9871.7321	10868.2929	10845.6836	11191.7367	-0.2855
9839.3175	10580.6128	10374.5454	11564.2993	9921.5766	10925.5197	10857.3702	11258.2835	0.0284
9918.3581	10617.7438	10403.7654	11588.8794	9982.9307	10990.1049	10903.0515	11275.1772	0.3201
9932.0713	10611.2922	10436.9213	11600.5696	9991.8771	10985.4037	10951.8923	11255.1291	0.4755
9929.9564	10613.5072	10406.2262	11606.4528	9977.1478	10969.1442	10911.4177	11269.7099	0.5252
9899.8544	10578.7733	10360.9212	11567.6889	9969.7599	10966.6307	10884.0820	11250.2896	0.5191
9875.9622	10541.5840	10362.0012	11544.7676	9937.5010	10938.4728	10907.7265	11209.9916	0.4912
9830.1060	10533.8347	10337.2121	11531.5268	9910.8674	10927.7695	10816.6574	11252.7935	0.4615
9860.0919	10568.6022	10369.1243	11560.0954	9912.6680	10942.2662	10882.0225	11238.2349	0.4378
9860.7779	10572.4287	10399.0533	11545.9392	9899.4461	10936.9349	10913.1863	11217.1621	0.4203
9817.6174	10548.3547	10360.5339	11546.2963	9890.7224	10919.4318	10827.9189	11242.1851	0.3073
