LOCC	LACC	LIFG	LIPL	ROCC	RACC	RIFG	RIPL	I
10643.4191	11342.1602	10195.2042	10313.0890	10167.8231	11291.1600	10322.6158	10431.1303	-0.1154
10589.7757	11215.3828	10073.7043	10207.8622	10144.3220	11184.2768	10116.0566	10351.9033	-0.1328
10589.3657	11193.7233	10078.8574	10207.9055	10157.4181	11156.1850	10167.5806	10359.6798	-0.1498
10570.7919	11178.1800	10092.7033	10186.3069	10127.5850	11138.7413	10216.3929	10364.1022	-0.1663
10599.6057	11169.0039	10142.3758	10260.4095	10159.2466	11168.3435	10234.8094	10438.9537	-0.1821
10620.8303	11180.2228	10168.0873	10275.7615	10142.4415	11131.0454	10211.5437	10391.9904	-0.1972
10604.6646	11138.6141	10120.0575	10214.3346	10120.8149	11075.7821	10114.9316	10380.7137	-0.2115
10549.9214	11134.4872	9970.0493	10156.4007	10102.6608	11068.3993	10093.9992	10284.3899	-0.2250
10589.1373	11171.0365	10044.6866	10224.8864	10152.8209	11150.8293	10137.3246	10386.1013	-0.2377
10568.6953	11122.9440	10084.5272	10179.8409	10119.0775	11104.1039	10165.0634	10394.8342	-0.2497
10516.6763	11143.9538	10030.2886	10156.7879	10094.2809	11087.5113	10143.8288	10348.0369	-0.2601
10478.4594	11104.1279	10028.6839	10132.9379	10042.9258	11078.4149	10137.2245	10328.8904	-0.1686
10525.4429	11143.8206	10060.7890	10201.7744	10076.2274	11106.9601	10168.9378	10354.9005	0.1334
10554.7029	11225.0715	10107.5552	10202.6639	10121.1426	11141.7642	10213.1605	10380.9786	0.4161
10599.1021	11258.8036	10168.3697	10248.4701	10170.9352	11230.8649	10239.2630	10437.8950	0.5641
10659.5342	11288.6148	10200.6164	10319.8951	10244.1974	11258.9439	10289.1375	10453.8921	0.6074
10689.1937	11260.1864	10210.4338	10287.4386	10235.3559	11246.3614	10271.4090	10410.6790	0.5952
10700.9214	11267.0637	10187.5917	10283.8257	10231.6479	11220.4376	10229.0813	10425.5646	0.5617
10683.1056	11235.0577	10186.1545	10310.2500	10224.0486	11220.9012	10260.0986	10421.3038	0.5267
10668.5821	11298.3024	10206.8070	10319.0492	10198.0563	11250.2588	10276.1372	10442.5899	0.4981
10660.3841	11287.9526	10209.0245	10293.2177	10202.3655	11234.3394	10298.8508	10417.3723	0.4760
10633.5452	11233.8164	10114.2541	10266.4228	10145.9048	11189.0615	10264.7882	10360.6820	0.3586
10535.7803	11189.0059	10089.2313	10199.8049	10087.8008	11186.8102	10204.1355	10384.6802	0.0369
10484.6912	11199.8349	10058.0787	10175.5799	10018.8895	11217.9339	10164.7990	10347.7914	-0.2604
10503.3178	11187.0008	10053.4396	10172.3732	10054.4441	11214.8541	10142.9283	10385.4009	-0.4208
10504.3482	11150.6815	10039.1201	10149.2923	10039.9608	11112.7953	10153.0603	10281.3333	-0.4765
10499.3095	11085.5777	10016.5620	10128.8174	10043.7986	11013.8135	10151.6273	10303.5607	-0.4770
10470.6281	11137.3728	10056.3827	10137.0337	10019.6516	11053.3010	10173.3623	10316.4482	-0.4545
10465.4810	11082.9098	10036.0034	10121.1658	10001.7681	11017.6451	10141.9482	10304.3838	-0.4282
10506.7388	11077.2320	10005.0800	10121.8495	10035.4013	11037.4791	10046.0198	10283.8535	-0.4074
10544.4827	11104.4669	10002.4600	10159.9084	10102.3748	11037.8978	10118.1649	10323.1620	-0.3938
10580.6085	11151.6491	10035.5722	10192.8292	10129.4881	11100.1536	10111.3841	10362.2522	-0.2855
10642.8705	11239.6942	10092.8600	10252.0534	10171.8240	11227.5463	10211.6626	10424.0941	0.0284
10667.0431	11295.4226	10139.5439	10269.7200	10205.2868	11254.6191	10210.4387	10430.3221	0.3201
10667.4383	11258.1060	10118.3875	10234.4411	10217.2719	11246.0058	10206.6240	10400.5202	0.4755
10663.3437	11259.2158	10139.5126	10255.0237	10205.3615	11254.4241	10210.9581	10403.2706	0.5252
10643.5504	11271.6080	10137.9371	10283.2339	10165.4795	11236.1704	10214.5336	10431.1937	0.5191
10614.7317	11286.0908	10110.0225	10264.9524	10146.3192	11273.0060	10175.2460	10414.5777	0.4912
10624.1261	11285.1278	10171.1449	10261.0601	10186.1923	11258.5345	10257.1543	10389.2020	0.4615
10646.8365	11213.9761	10186.7413	10281.6832	10198.5966	11186.7697	10286.1363	10392.6492	0.4378
10688.6383	11263.8069	10198.3304	10311.5523	10220.7268	11236.2923	10259.1295	10449.1397	0.4203
10646.2731	11219.0883	10147.7428	10252.8425	10174.4626	11180.3521	10239.1005	10460.4703	0.3073
10533.5126	11105.5388	10069.1896	10191.1152	10079.7844	11098.9757	10134.4275	10427.3242	-0.0103
10487.0984	11124.2611	9980.5451	10111.7409	10032.1732	11088.1860	10035.2577	10262.2717	-0.3038
10459.7123	11143.6221	9937.8346	10119.2081	10062.7629	11044.4829	10032.4210	10261.8893	-0.4605
10473.2042	11133.6718	9976.6401	10127.9205	10067.1220	11059.8182	10050.1676	10272.3063	-0.5128
10472.3599	11088.7221	10042.4579	10169.4513	10021.7747	11039.8115	10063.1989	10336.8698	-0.5101
10480.5844	11122.1782	10050.2894	10172.3554	10032.3362	11050.6053	10084.4524	10338.7309	-0.4846
10499.9709	11110.1668	10027.0414	10175.8432	10056.0664	11052.2261	10154.9696	10311.4737	-0.4556
10491.3564	11092.0761	10045.1527	10183.3349	10012.2379	11004.7467	10110.8842	10312.0252	-0.4323
10489.4466	11112.6070	10056.3428	10153.4694	10047.5897	11024.5478	10056.7201	10283.5729	-0.4164
10520.9530	11168.5492	10089.2484	10211.5171	10085.2110	11110.0552	10093.5539	10334.7437	-0.3059
10588.6938	11233.8191	10082.6601	10234.0198	10159.8294	11203.9738	10173.6539	10346.3121	0.0099
10675.5315	11316.4589	10171.7963	10292.5453	10221.7805	11251.3473	10245.8798	10450.1823	0.3033
10675.4387	11262.6614	10174.8622	10273.9096	10227.6079	11214.3124	10281.2817	10471.6286	0.4604
10669.0409	11235.8568	10161.7247	10272.2617	10189.5724	11186.9342	10287.5265	10395.8413	0.5116
10643.4371	11246.2694	10171.6244	10296.7824	10143.2178	11196.5295	10294.4150	10393.9314	0.5068
10628.3142	11234.8355	10168.2080	10231.9658	10157.9909	11179.6654	10264.2447	10370.3262	0.4801
10653.5320	11275.6321	10174.5488	10270.0615	10172.1349	11242.9322	10266.3128	10416.2017	0.4515
10665.5402	11246.7162	10163.0944	10293.0383	10206.3376	11205.0131	10270.6166	10430.1358	0.4289
10674.7940	11263.2803	10211.2640	10289.4812	10236.7676	11222.9604	10304.4112	10464.5381	0.4123
10634.5583	11223.2506	10125.8170	10295.2553	10184.0798	11191.8475	10292.3745	10426.3448	0.3001
10579.6553	11212.2426	10090.7879	10247.9398	10131.0059	11189.5795	10237.1132	10414.9227	-0.0168
