LOCC	LACC	LIFG	LIPL	ROCC	RACC	RIFG	RIPL	I
9321.4778	11435.1973	10464.5509	11236.7444	10252.2778	11877.2642	10114.8199	11369.2246	-0.1154
9324.6333	11331.1410	10593.1452	11148.2524	10268.9036	11810.6688	10251.9074	11392.3942	-0.1328
9322.8686	11358.7770	10634.1771	11268.2674	10287.7374	11949.7025	10290.4944	11377.5820	-0.1498
9318.9795	11361.6595	10637.4701	11208.0005	10297.8888	11937.3685	10298.9720	11377.7305	-0.1663
9303.2004	11341.6826	10650.5744	11228.8594	10288.8914	11882.1313	10270.8765	11367.3763	-0.1821
9314.0021	11374.2103	10591.4128	11241.5302	10295.7332	11951.4510	10293.2012	11387.1133	-0.1972
9303.3706	11301.1257	10597.7762	11183.7829	10293.6232	11873.8005	10196.8076	11362.8522	-0.2115
9306.0561	11277.3981	10508.6685	11152.6056	10288.9482	11878.6860	10155.1356	11354.5895	-0.2250
9290.2160	11330.0732	10553.1434	11142.7037	10253.0725	11875.4434	10142.2506	11301.0957	-0.2377
9295.0006	11314.3532	10557.8405	11192.7619	10288.4271	11904.3649	10175.0933	11359.5898	-0.2497
9327.7924	11297.2627	10554.7490	11201.2377	10297.9381	11823.8875	10161.6801	11347.7116	-0.2601
9393.0495	11324.9691	10577.0068	11269.8345	10347.9395	11932.0993	10203.2593	11413.7679	-0.1686
9423.5720	11482.9437	10665.8831	11332.0656	10412.1224	11998.9727	10277.4316	11437.6338	0.1334
9459.6028	11455.1240	10783.4505	11345.3103	10426.1220	11996.1654	10366.6935	11422.2676	0.4161
9482.0141	11479.1618	10770.5007	11348.3069	10434.2584	11990.3670	10391.6057	11487.0534	0.5641
9450.4454	11499.2897	10723.5485	11346.8363	10414.0246	11980.3174	10399.8050	11508.2611	0.6074
9425.5609	11519.8304	10715.6042	11338.9024	10377.1536	11978.5815	10366.5452	11451.1813	0.5952
9411.4677	11444.5632	10677.3271	11345.1397	10355.6149	11988.1263	10312.0279	11481.9160	0.5617
9418.0022	11490.9040	10751.0641	11318.7652	10383.1059	12021.1007	10333.3429	11446.9795	0.5267
9411.3139	11466.7542	10673.5028	11342.8657	10345.3157	11950.0942	10283.8956	11459.9919	0.4981
9420.8564	11466.0954	10740.3394	11325.5264	10331.7203	11983.8670	10265.0939	11407.2184	0.4760
9340.7925	11406.7471	10591.6195	11245.0970	10284.9776	11951.9053	10155.1758	11394.2676	0.3586
9245.0055	11172.7695	10376.2967	11206.8640	10207.2690	11907.9172	10051.5571	11272.1159	0.0369
9174.0796	11146.0964	10590.9482	11085.4344	10187.9029	11605.8979	10257.6166	11276.6875	-0.2604
9226.5218	11171.4580	10568.9430	11150.9593	10175.1794	11702.8822	10260.3880	11235.3665	-0.4208
9198.9134	11154.2354	10509.7450	11170.3079	10150.5830	11766.5163	10239.0236	11290.5260	-0.4765
9243.2955	11270.1354	10580.8154	11172.4006	10196.4669	11786.2842	10284.7801	11264.3714	-0.4770
9217.4296	11197.3431	10480.7388	11217.6206	10200.4594	11794.5207	10174.2543	11252.4886	-0.4545
9229.2146	11232.5537	10529.6416	11168.1068	10180.2892	11800.3568	10257.3901	11319.2334	-0.4282
9228.5204	11247.4310	10586.2992	11146.2867	10206.7202	11808.1234	10287.0494	11293.1663	-0.4074
9242.9065	11262.0381	10573.3148	11048.6926	10189.9563	11794.0841	10217.0312	11349.8893	-0.3938
9318.7880	11324.3587	10584.5059	11184.2650	10280.5785	11856.7313	10299.9851	11281.5703	-0.2855
9378.4292	11403.5573	10669.4447	11223.3387	10336.9323	11954.3704	10319.5891	11355.3086	0.0284
9387.1209	11439.5257	10718.8688	11323.7882	10345.8004	11952.2038	10419.7207	11360.5098	0.3201
9439.9315	11469.5622	10794.6867	11299.5936	10377.7628	11942.5571	10409.1038	11324.8809	0.4755
9407.7516	11369.3109	10761.0934	11323.6393	10355.8521	11939.5044	10394.1840	11393.5671	0.5252
9427.3769	11479.1523	10805.5874	11316.7603	10353.6033	11965.2139	10387.2620	11374.5358	0.5191
