LOCC	LACC	LIFG	LIPL	ROCC	RACC	RIFG	RIPL	I
9802.4381	11734.7277	10213.1726	10839.6995	10542.1023	11082.8371	10300.7409	10449.8893	-0.1154
9812.1088	11662.1510	10250.8260	10870.8104	10511.6275	11048.2275	10282.6275	10451.5799	-0.1328
9821.4186	11648.9657	10254.5227	10867.7405	10515.1038	11035.5116	10297.1612	10437.7882	-0.1498
9810.6624	11651.4955	10272.4020	10898.3409	10514.3053	11024.7733	10330.8698	10436.7583	-0.1663
9826.9609	11648.9500	10280.1806	10887.8902	10500.8732	11025.3246	10335.4505	10452.0989	-0.1821
9782.7293	11627.9315	10283.4699	10935.1854	10492.7790	11012.8012	10343.8260	10428.5899	-0.1972
9802.2581	11614.3195	10266.6902	10874.2036	10488.9821	11022.5129	10363.5958	10440.2597	-0.2115
9825.0442	11623.3792	10278.8723	10887.5486	10506.5207	11005.6919	10370.4603	10460.5543	-0.2250
9815.8713	11605.7373	10252.3806	10890.1246	10517.6981	10982.4115	10343.1401	10430.4104	-0.2377
9825.4620	11600.7224	10234.3232	10883.7087	10522.8558	10992.9212	10320.3112	10415.6439	-0.2497
9833.3846	11619.2865	10284.5405	10941.1334	10544.1988	11020.3324	10376.4965	10445.5947	-0.2601
9880.8800	11625.5121	10289.3871	10934.4751	10573.4006	11067.2489	10373.0101	10495.8723	-0.1686
9901.7549	11683.6986	10350.6649	11012.4316	10593.8261	11128.8318	10415.2908	10524.2015	0.1334
9937.5636	11741.0915	10362.2051	10985.7135	10631.2474	11176.1745	10446.1588	10547.0893	0.4161
9972.1020	11760.2738	10390.9012	11011.2373	10647.8671	11141.5795	10440.6584	10548.7899	0.5641
9952.6740	11762.1067	10395.3481	11061.3243	10635.3544	11123.2087	10438.6667	10550.8660	0.6074
9947.9406	11739.6694	10380.2966	10974.7459	10617.5125	11130.2005	10421.2999	10501.8607	0.5952
9937.0652	11765.6579	10366.7814	10983.5257	10606.8793	11116.5453	10423.9781	10515.3248	0.5617
9939.0733	11754.4272	10389.2035	10971.6340	10620.6837	11143.7886	10464.7212	10526.2464	0.5267
9947.7013	11774.8028	10409.8927	11004.1470	10639.8654	11163.1787	10446.4704	10582.1236	0.4981
9937.3663	11739.4743	10396.5953	11007.9249	10612.4725	11120.7951	10433.2341	10555.5889	0.4760
9917.3866	11662.0642	10326.5597	10974.0355	10630.3174	11071.7917	10353.6951	10513.4419	0.3586
9892.7242	11686.2484	10339.9633	11014.9937	10590.2568	11103.3779	10397.3285	10537.2038	0.0369
9845.9251	11656.3194	10257.9193	10934.9885	10513.8076	11077.2730	10345.4228	10491.1629	-0.2604
9817.3972	11677.5303	10209.0681	10942.0461	10501.9617	11097.6116	10315.7396	10499.2269	-0.4208
9783.3942	11624.9305	10181.5194	10855.3305	10479.3599	11033.2022	10241.8805	10446.7724	-0.4765
9759.2509	11612.5427	10218.8556	10879.4103	10476.0715	11001.8985	10277.2555	10440.6361	-0.4770
9773.9986	11560.9051	10180.3453	10830.9093	10460.7005	10942.0386	10248.3588	10397.8610	-0.4545
9749.3504	11584.6857	10159.8404	10834.0030	10434.8089	10950.5571	10244.1630	10393.6683	-0.4282
9757.3194	11541.2734	10132.2110	10781.4679	10420.1802	10902.6900	10190.8731	10380.8577	-0.4074
9740.7713	11552.5442	10113.8454	10804.4453	10406.4995	10910.6111	10162.2591	10365.2158	-0.3938
9717.5416	11555.9827	10099.5698	10812.9046	10390.1734	10929.3596	10164.9396	10325.9576	-0.2855
9754.7260	11608.2752	10194.9107	10872.2314	10420.7597	10978.4622	10239.9415	10372.8189	0.0284
9823.4665	11655.1981	10255.0665	10901.0543	10497.3094	11039.3493	10298.3463	10449.8020	0.3201
9889.0023	11700.9953	10336.9486	10964.3176	10569.4255	11090.3950	10356.6050	10490.5904	0.4755
9893.1552	11728.2886	10334.9859	10934.3386	10599.2127	11104.1064	10370.1375	10499.4898	0.5252
9886.0815	11724.1438	10284.7379	10944.0064	10583.6666	11095.7344	10352.2285	10504.9466	0.5191
9848.5630	11693.8292	10246.2773	10896.2288	10523.5047	11058.2120	10315.6915	10460.3071	0.4912
9852.6814	11721.2583	10260.5359	10883.0518	10534.8170	11080.0070	10328.3439	10481.4159	0.4615
9881.8016	11745.6118	10345.2943	10972.5600	10572.9734	11145.9552	10398.0301	10518.3839	0.4378
9901.5436	11728.0495	10343.4772	10993.0202	10582.1687	11143.6770	10408.3847	10513.8125	0.4203
9890.3972	11714.9224	10346.5139	10954.0018	10582.2484	11153.4979	10430.1770	10509.6069	0.3073
9876.1263	11708.9004	10341.1691	10936.3705	10572.7622	11105.1054	10414.2731	10482.6498	-0.0103
9806.4506	11681.6980	10394.0883	10948.1245	10514.9427	11068.5582	10437.5545	10469.0661	-0.3038
9806.0359	11664.2087	10366.7357	10960.6834	10517.8859	11068.5770	10434.4057	10471.8998	-0.4605
9813.0154	11703.3503	10327.1422	10936.3913	10540.3220	11069.1444	10423.3533	10514.5024	-0.5128
9817.6373	11628.6705	10272.3742	10911.6019	10509.8967	11015.7916	10353.6579	10477.0575	-0.5101
9807.4206	11606.7807	10232.6598	10899.7810	10493.9227	10992.3135	10326.3271	10424.6360	-0.4846
9796.2572	11616.4834	10240.0031	10879.5523	10485.8037	10995.0897	10293.0200	10427.4591	-0.4556
9811.3312	11641.1051	10257.1816	10930.3945	10501.2180	11003.1880	10326.3907	10426.5179	-0.4323
9818.0982	11567.2489	10201.1841	10879.3592	10501.3314	10976.1335	10289.2351	10414.4886	-0.4164
9798.1933	11591.9905	10229.9763	10858.0767	10471.4842	10990.6096	10301.8295	10432.4687	-0.3059
9830.7435	11644.2509	10277.3382	10920.9621	10482.9767	11029.8433	10327.0435	10434.5542	0.0099
9875.7278	11691.7005	10343.7915	10929.8193	10547.1773	11074.1551	10367.9544	10459.9823	0.3033
9919.8411	11723.1351	10357.9859	10949.7964	10585.4144	11107.5189	10388.0017	10503.5195	0.4604
9924.5732	11717.4807	10302.8580	10939.5417	10611.3371	11080.9739	10355.9379	10509.4426	0.5116
